noise,constraint_complexity,mutual_complexity,soft,seq_length,num_constraints,num_examples,perceptron
False,19.8979762539,1.98979762539,False,10,10,1300,0.967
False,10.9357126998,1.09357126998,False,10,5,1900,0.979
False,43.6997737977,4.36997737977,False,10,20,800,0.958
False,69.2677957191,3.46338978596,False,20,20,500,0.901
False,10.2997239331,1.02997239331,False,10,5,2000,0.963
False,42.3688234889,2.11844117444,False,20,10,900,0.931
False,24.8163613234,1.24081806617,False,20,5,1400,0.942
False,22.1707083838,2.21707083838,False,10,10,1400,0.966
False,56.8076137092,5.68076137092,False,10,30,600,0.952
False,41.5313081597,4.15313081597,False,10,20,900,0.925
False,16.3141632677,0.815708163385,False,20,5,1500,0.9435
False,17.4022232889,1.74022232889,False,10,10,1500,0.971
False,41.3993641635,2.06996820818,False,20,10,1000,0.942
False,107.514030519,5.37570152593,False,20,30,400,0.879
False,16.8525135649,0.842625678243,False,20,5,1600,0.936
False,80.0392593928,4.00196296964,False,20,20,600,0.929
False,17.5259329432,1.75259329432,False,10,10,1600,0.966
False,64.1589858623,6.41589858623,False,10,30,700,0.951
False,41.3672130255,4.13672130255,False,10,20,1000,0.957
False,39.1664215036,1.95832107518,False,20,10,1100,0.9155
False,16.8249888915,0.841249444573,False,20,5,1700,0.929
False,20.9469329522,2.09469329522,False,10,10,1700,0.981
False,9.83710041116,0.491855020558,False,20,5,1800,0.949
False,41.4255881792,4.14255881792,False,10,20,1100,0.949
False,21.5074141664,2.15074141664,False,10,10,1800,0.964
False,35.334187784,1.7667093892,False,20,10,1200,0.9425
False,60.1984012902,6.01984012902,False,10,30,800,0.944
False,79.0069875367,3.95034937684,False,20,20,700,0.913
False,103.122901968,5.15614509842,False,20,30,500,0.911
False,16.4058115215,0.820290576074,False,20,5,1900,0.951
False,20.4088018777,2.04088018777,False,10,10,1900,0.965
False,42.601161509,4.2601161509,False,10,20,1200,0.96
False,43.9296610662,2.19648305331,False,20,10,1300,0.9385
False,17.5018223834,0.875091119171,False,20,5,2000,0.945
False,19.0886222425,1.90886222425,False,10,10,2000,0.938
False,61.5278967023,6.15278967023,False,10,30,900,0.958
False,81.1410448805,4.05705224403,False,20,20,800,0.9145
False,37.4470139333,3.74470139333,False,10,20,1300,0.971
False,39.6876132028,1.98438066014,False,20,10,1400,0.942
False,112.549046231,5.62745231155,False,20,30,600,0.913
False,60.0630650953,6.00630650953,False,10,30,1000,0.958
False,42.726324652,4.2726324652,False,10,20,1400,0.967
False,35.1745914089,1.75872957045,False,20,10,1500,0.9395
False,82.815789662,4.1407894831,False,20,20,900,0.9415
False,32.5265890729,1.62632945365,False,20,10,1600,0.9425
False,40.3075327281,4.03075327281,False,10,20,1500,0.948
False,61.8560413045,6.18560413045,False,10,30,1100,0.954
False,26.7607015913,1.33803507956,False,20,10,1700,0.939
False,70.8489794081,3.5424489704,False,20,20,1000,0.9475
False,116.55556137,5.82777806851,False,20,30,700,0.9275
False,36.809571678,3.6809571678,False,10,20,1600,0.973
